"48","2009-09-22 07:31:00.0","2009-10-26 12:41:47.0","demo: Anniversary #1","Rap Battle","Ecstasy Garage Disco","40.840919,-73.917113","1980","http://streaming1.video.cornell.edu:8080/ramgen/courses/music2501/Fantastic_5-1981_battle-excerpt.rm,anniversary1.png"
"49","2009-09-22 07:31:00.0","2009-10-26 12:42:01.0","demo: Funk Disco Jam","need caption","C. C. Disco","40.808095,-73.945679","1980","funk.png"
"50","2009-09-22 07:31:00.0","2009-10-26 12:38:44.0","demo: Touch of Class","","Edenwald Center","40.886209,-73.845149","1979",""
"52","2009-09-22 07:31:00.0","2009-10-26 12:39:55.0","demo: Planet Rock","need credit","Celebrity Club","40.805947,-73.941092","1982,Celebrity Club","planetrock.png"
"55","2009-09-22 07:31:00.0","2009-10-26 12:39:42.0","demo: The Brothers Disco","need caption","PAL (Police Athletic League)","40.856251,-73.895594","","brothers.png,http://rmc.library.cornell.edu/hiphop/collimages/Photographs/D-001.jpg,http://rmc.library.cornell.edu/hiphop/collimages/Photographs/D-002.jpg,http://streaming1.video.cornell.edu:8080/ramgen/courses/music2501/Fantastic_5-1981_battle-excerpt.rm"
"58","2009-09-22 07:31:00.0","2009-10-26 12:41:19.0","demo: 2Enjoy Recording Artists","event flyer","T-Conection","40.834009,-73.875792","","2enjoy.png"
"60","2009-09-22 07:31:00.0","2009-11-04 11:05:46.0","demo: Boxen Day Celebration","need caption","Savoy Manor","40.81898,-73.929181","1980,event flyer","boxen.png"
"459","2009-10-26 10:29:29.0","2009-10-26 12:38:25.0","demo: T-Connection, 02/09/1980","T-Connection, 02/09/1980","T-Connection","40.877613,-73.865709","1980,T-Connection","T-Connection - 1980-02-09.jpg"
"503","2009-11-09 14:35:04.0","2009-11-09 14:47:00.0","Ecstasy Garage, 01/31/1981","Ecstasy Garage 01/31/1981","Ecstasy Garage","40.843449,-73.917659","1981,Unknown Flyer Creator,Ecstasy Garage,event flyer","Ecstasy Garage - 1981-01-31.jpg"
"505","2009-11-09 15:03:18.0","2009-11-09 15:09:35.0","Ecstasy Garage 04/01/1980","Ecstasy Garage 04/01/1980","Ecstasy Garage","40.841747,-73.916536","1980,Buddy Esquire,Ecstasy Garage,event flyer","Ecstasy Garage - 1980-04-01.jpg"
"520","2009-11-10 12:05:49.0","2009-11-10 12:09:35.0","T-connection undated2","T-connection undated2","T-connection","40.877613,-73.865709","Unknown Flyer Creator,T-Connection,event flyer","T-Connection - Undated 2.jpg"
"537","2009-11-11 11:23:21.0","2009-11-11 11:27:06.0","T-connection 10/24/1981","T-connection 10/24/1981","T-connection","40.877613,-73.865709","1981,Unknown Flyer Creator,T-Connection,event flyer","T-Connection - 1981-10-24.jpg"
"630","2009-11-18 13:52:03.0","2009-11-18 14:00:30.0","Easter80'Show","Easter80'Show","Ecstasy Garage Disco","40.841747,-73.916536","Unknown Flyer Creator,Other Flyer Creator,Ecstasy Garage","Ecstasy Garage - 1980-04-06.jpg"
"632","2009-11-18 14:22:53.0","2009-11-18 14:29:35.0","Ecstasy Garage Disco","Ecstasy Garage Disco","Ecstasy Garage Disco","40.843449,-73.917659","1980,Buddy Esquire,Other Flyer Creator,Ecstasy Garage","Ecstasy Garage - 1980-06-28.jpg"
"672","2009-12-01 13:10:26.0","2009-12-01 13:23:31.0","Ecstasy Garage, 10/04/1980","Ecstasy Garage, 10/04/1980","Ecstasy Garage","40.843449,-73.917659","1980,Unknown Flyer Creator,Ecstasy Garage,event flyer","Ecstasy Garage - 1980-10-04.jpg"
"680","2009-12-06 22:25:45.0","2009-12-06 22:56:27.0","Planet Rock, 6/17/1982","Celebrity Club","Celebrity Club","40.805948,-73.941121","Celebrity Club,event flyer,Unknown Flyer Creator","Celebrity Club - 1982-06-17.jpg"
"681","2009-12-06 23:32:17.0","2009-12-11 10:32:13.0","SUPERSTAR STAGE SHOW, 1/26/?","Superstar Stage Show at the T-Connection","The T-Connection","40.877613,-73.865709","Unknown Flyer Creator,T-Connection,event flyer","T-Connection - 1980-01-26.jpg"
"682","2009-12-07 00:33:51.0","2009-12-07 14:05:36.0","A Hip Hop and Don't... 12/6/80","A hip hop and don't stop jam at the T-Connection","The T-Connection","40.877613,-73.865709","Unknown Flyer Creator,T-Connection,event flyer","T-Connection-OS - 1980-12-06.jpg"
"683","2009-12-07 14:13:37.0","2009-12-11 09:45:54.0","PARTY, 4/17-18/19??","PARTY at Harlem World","HARLEM WORLD","40.803314,-73.952724","Unknown Flyer Creator,Harlem World,event flyer","Harlem World - 1981-04-17.jpg"
"984","2011-04-23 14:34:27.0","2011-04-23 15:25:42.0","Birthday Party for M.C.","","T-Connection","40.877613,-73.865709","Buddy Esquire",""
"985","2011-04-23 14:49:32.0","2011-04-23 15:25:14.0","Caz & Theodore","","Ecstasy Garage Disco","40.843301,-73.91762","Buddy Esquire",""
"986","2011-04-23 15:22:04.0","2011-04-23 15:24:39.0","1979 Sweethearts Ball","","3rd Ave. Ballroom","40.827986,-73.906914","1979,Buddy Esquire",""
"987","2011-04-23 15:27:47.0","2011-04-23 15:31:06.0","Grandwizard Theodore Show","","Sons of Italy Ballroom","40.657602,-73.583183","Buddy Esquire",""
"988","2011-04-23 15:33:18.0","2011-04-23 15:33:43.0","A Halloween Showdown","","Lemko Hall","40.928598,-73.870652","Buddy Esquire",""
"989","2011-04-23 15:40:49.0","2011-04-23 15:43:45.0","Grandmaster Caz/ Jerry Lewis","","Ecstasy Garage Disco","40.843301,-73.91762","1981,Buddy Esquire",""
"990","2011-05-09 15:13:38.0","2011-05-09 15:15:57.0","Super Jam Throw Down Disco","","Bronx River Center","49.880221,-97.136805","1980,Other Flyer Creator,Bronx River",""
"992","2011-05-09 15:54:18.0","2011-05-09 15:54:58.0","Sparkle 6 DJs Convention","","Audubon Ballroom","40.839939,-73.940722","",""
"993","2011-05-09 15:57:58.0","2011-05-09 15:59:17.0","Dance-A-Thon Disco Pt. 2","","Audubon Ballroom","40.839939,-73.940722","Buddy Esquire",""
"994","2011-05-09 16:01:05.0","2011-05-09 16:03:04.0","Great M.C. Showdown","","Audubon Grand Ballroom","40.83957,-73.9399","",""
"995","2011-05-09 16:05:21.0","2011-05-09 16:05:21.0","Show Stoppers Funk Jam Disco","","Bronx River Center","40.833908,-73.87645","",""
"996","2011-05-09 16:07:10.0","2011-05-09 16:07:10.0","Super Jam Throw Down Disco","","Bronx River Center","40.833908,-73.87645","",""
